Name,Protein,Carbs,Fats
chicken,0.231,0,0.012
pork,0.281,0,0.048
beef,0.306,0,0.058
salmon,0.221,0,0.124
cod,0.228,0,0.009
plain pasta,0.058,0.309,0.009
white bread,0.092,0.491,0.032
wheat bread,0.03,0.143,0.01
croissant,0.066,0.462,0.187
broccoli,0.024,0.072,0.004
potato,0.036,0.296,0.036
chocolate,0.077,0.594,0.297
beetroot,0.017,0.1,0.002
spinach,0.003,0.038,0.003
